City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
248,Saint-Francois,FR,74.64,46.4154,3.9054,
250,Mahebourg,MU,73.69,-20.4081,57.7,
251,General Roca,AR,56.62,-39.0333,-67.5833,
252,Seoul,KR,67.6,37.5683,126.9778,
253,Usinsk,RU,52.43,65.9939,57.5281,
254,Necochea,AR,62.06,-38.5473,-58.7368,
255,Svolvaer,NO,53.49,68.2342,14.5683,
256,Rawson,AR,61.5,-43.3002,-65.1023,
258,Bengkulu,ID,75.94,-3.8004,102.2655,
259,Auki,SB,76.32,-8.7676,160.7034,
260,Biak,ID,75.65,-0.9131,122.8766,
262,Poronaysk,RU,46.87,49.2167,143.1167,
263,Namibe,AO,67.71,-15.1961,12.1522,
265,Zlitan,LY,71.98,32.4674,14.5687,
267,Vidim,RU,55.76,56.4088,103.1106,
268,Haverfordwest,GB,61.56,51.8017,-4.9691,
269,Kaeo,NZ,52.32,-35.1,173.7833,
272,Isangel,VU,75.78,-19.55,169.2667,
273,Lubben,DE,63.25,51.95,13.9,
274,Hokitika,NZ,52.05,-42.7167,170.9667,
275,Hvide Sande,DK,55.09,56.0045,8.1294,
277,Horsham,GB,68.74,51.064,-0.3272,
279,Olafsvik,IS,50.29,64.8945,-23.7142,
280,Grand Bend,CA,75.74,43.3168,-81.7498,
281,Hakkari,TR,53.78,37.5833,44.1667,
283,Abay,KZ,61.18,49.6311,72.8539,
284,Bilibino,RU,53.76,68.0546,166.4372,
286,Mogadishu,SO,79.23,2.0371,45.3438,
287,Beloha,MG,63.32,-25.1667,45.05,
288,Oleksandrivka,UA,69.22,48.9634,32.2349,
289,Ajdabiya,LY,73.9,30.7554,20.2263,
290,Upington,ZA,64.78,-28.4478,21.2561,
291,Asosa,ET,63.27,10.0667,34.5333,
293,Superior,US,66.47,46.7208,-92.1041,
295,Los Llanos De Aridane,ES,69.55,28.6585,-17.9182,
297,Duluth,US,66.07,46.7833,-92.1066,
299,Saint-Marc-Des-Carrieres,CA,69.87,46.6834,-72.0491,
300,Camacha,PT,65.62,33.0833,-16.3333,
301,Ucluelet,CA,54.09,48.9329,-125.5528,
302,La Baule-Escoublac,FR,73.06,47.2922,-2.364,
304,Vilya,RU,58.6,55.2456,42.2089,
308,Peterhead,GB,59.4,57.5058,-1.7981,
309,Pangnirtung,CA,39.2,66.1451,-65.7125,
310,Noshiro,JP,53.2,40.2039,140.0242,
311,Leningradskiy,RU,34.2,69.3833,178.4167,
312,Manokwari,ID,79.81,-0.8667,134.0833,
313,Neiafu,TO,70.48,-18.65,-173.9833,
315,Huancabamba,PE,69.69,-5.2386,-79.4506,
316,Vanino,RU,47.84,49.0869,140.2543,
318,Esso,RU,40.37,55.9333,158.7,
319,College,US,65.07,64.8569,-147.8028,
320,Iqaluit,CA,44.33,63.7506,-68.5145,
321,Ambon,ID,76.23,-3.6954,128.1814,
322,Birjand,IR,79.27,32.8663,59.2211,
324,Iroquois Falls,CA,67.01,48.7669,-80.6831,
325,Kyritz,DE,62.82,52.9421,12.397,
327,Finschhafen,PG,78.6,-6.6024,147.8681,
328,Banda Aceh,ID,79.61,5.5577,95.3222,
329,Myaundzha,RU,49.21,63.0494,147.1858,
330,Coquimbo,CL,55.13,-29.9533,-71.3436,
331,Dali,CN,63.21,25.7,100.1833,
332,Sesheke,ZM,58.01,-17.4759,24.2968,
333,Naze,JP,74.32,28.3667,129.4833,
334,Grindavik,IS,53.55,63.8424,-22.4338,
336,George,ZA,54.95,-33.963,22.4617,
337,Antalaha,MG,70.16,-14.9003,50.2788,
338,Pisco,PE,61.02,-13.7,-76.2167,
339,Soe,ID,64.17,-9.8607,124.284,
340,Vila Franca Do Campo,PT,68.2,37.7167,-25.4333,
341,Kirakira,SB,79.11,-10.4544,161.9205,
342,Inirida,CO,70.99,3.8653,-67.9239,
343,Mount Isa,AU,40.77,-20.7333,139.5,
344,Kushnarenkovo,RU,53.2,55.105,55.3508,
345,Zheshart,RU,54.73,62.0731,49.5733,
346,Penzance,GB,59.68,50.1186,-5.5371,
347,Darnah,LY,72.57,32.767,22.6367,
348,Casma,CL,47.8,-41.0082,-73.1244,
349,Lichinga,MZ,58.14,-13.3128,35.2406,
350,Nazilli,TR,76.3,37.9163,28.3223,
351,Vestmannaeyjar,IS,49.19,63.4427,-20.2734,
