City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,Road Town,18.4167,-64.6167,89.69,58,40,14.97,VG,2022-06-13 18:52:45
114,Faanui,-16.4833,-151.75,79.68,68,21,20.6,PF,2022-06-13 18:52:45
115,Chokurdakh,70.6333,147.9167,63.39,30,0,9.62,RU,2022-06-13 18:52:46
116,Ribeira Grande,38.5167,-28.7,68.4,64,20,12.66,PT,2022-06-13 18:52:46
117,Todos Santos,23.45,-110.2167,76.53,61,2,8.12,MX,2022-06-13 18:52:46
118,Okhotsk,59.3833,143.3,42.13,94,100,18.05,RU,2022-06-13 18:52:47
119,Saldanha,-33.0117,17.9442,57.25,92,100,18.84,ZA,2022-06-13 18:52:47
120,Mbanza-Ngungu,-5.25,14.8667,71.53,58,100,3.49,CD,2022-06-13 18:52:47
121,Goderich,43.7501,-81.7165,61.12,77,100,8.05,CA,2022-06-13 18:52:47
122,Bubaque,11.2833,-15.8333,80.28,82,87,13.31,GW,2022-06-13 18:52:48
123,Mamlyutka,54.9375,68.5394,51.42,96,7,8.05,KZ,2022-06-13 18:52:48
124,Portland,45.5234,-122.6762,60.64,74,75,14.97,US,2022-06-13 18:48:15
125,Tommot,58.9564,126.2925,49.73,80,100,1.83,RU,2022-06-13 18:52:48
126,Labuan,5.2767,115.2417,79.16,88,20,0.0,MY,2022-06-13 18:52:49
127,San Jose De Sisa,-6.6167,-76.6915,79.32,43,98,3.96,PE,2022-06-13 18:52:49
128,Kavieng,-2.5744,150.7967,81.93,73,35,12.77,PG,2022-06-13 18:52:49
129,Bacolod,10.6667,122.95,78.31,83,100,3.27,PH,2022-06-13 18:52:50
130,Acapulco,16.8634,-99.8901,84.25,68,100,11.99,MX,2022-06-13 18:52:06
131,Maarianhamina,60.0973,19.9348,58.86,77,0,2.3,AX,2022-06-13 18:52:50
132,Shache,38.4167,77.2406,79.29,30,100,23.76,CN,2022-06-13 18:52:50
133,Templin,53.1186,13.5022,58.08,81,10,7.67,DE,2022-06-13 18:52:51
134,Saskylakh,71.9167,114.0833,60.26,51,100,0.98,RU,2022-06-13 18:52:51
135,Hithadhoo,-0.6,73.0833,83.28,74,56,7.2,MV,2022-06-13 18:52:51
136,Dikson,73.5069,80.5464,30.06,87,100,15.03,RU,2022-06-13 18:52:51
137,Stephenville,32.2207,-98.2023,100.76,23,0,14.97,US,2022-06-13 18:52:52
138,Bredasdorp,-34.5322,20.0403,56.62,84,100,4.36,ZA,2022-06-13 18:52:52
139,Itoman,26.1247,127.6694,81.37,96,40,19.57,JP,2022-06-13 18:49:09
140,Trinidad,-14.8333,-64.9,76.98,27,0,5.75,BO,2022-06-13 18:52:52
141,Phan Thiet,10.9333,108.1,78.06,89,46,3.27,VN,2022-06-13 18:48:54
142,Longyearbyen,78.2186,15.6401,39.97,67,100,1.74,SJ,2022-06-13 18:52:53
143,Lokoja,7.8024,6.743,83.89,64,73,3.69,NG,2022-06-13 18:52:53
144,Margate,51.3813,1.3862,63.7,62,34,4.0,GB,2022-06-13 18:52:53
145,Katsuura,35.1333,140.3,64.44,76,100,13.33,JP,2022-06-13 18:52:54
146,Nautla,20.2167,-96.7833,90.05,54,100,22.97,MX,2022-06-13 18:52:54
147,Huarmey,-10.0681,-78.1522,69.06,69,31,10.56,PE,2022-06-13 18:52:54
148,Nosy Varika,-20.5833,48.5333,66.83,89,100,8.32,MG,2022-06-13 18:52:55
149,Nuuk,64.1835,-51.7216,34.88,74,69,13.0,GL,2022-06-13 18:52:55
150,Touros,-5.1989,-35.4608,81.46,70,2,13.27,BR,2022-06-13 18:52:55
151,Atar,20.5169,-13.0499,99.91,19,88,9.69,MR,2022-06-13 18:52:55
152,Dubbo,-32.25,148.6167,33.93,100,5,2.3,AU,2022-06-13 18:52:56
153,Bandarbeyla,9.4942,50.8122,78.84,81,62,29.84,SO,2022-06-13 18:52:56
154,Barrow,71.2906,-156.7887,32.02,86,40,14.97,US,2022-06-13 18:52:56
155,Cayenne,4.9333,-52.3333,86.04,14,75,9.22,GF,2022-06-13 18:52:56
156,Husavik,66.0449,-17.3389,54.41,71,100,7.09,IS,2022-06-13 18:52:57
157,Tocache,-8.1842,-76.5125,81.66,50,98,1.14,PE,2022-06-13 18:52:57
158,Severo-Kurilsk,50.6789,156.125,43.81,92,100,12.21,RU,2022-06-13 18:52:57
159,Geraldton,-28.7667,114.6,59.41,88,100,5.75,AU,2022-06-13 18:52:58
160,Torbay,47.6666,-52.7314,57.27,80,75,6.91,CA,2022-06-13 18:52:58
161,Port Hardy,50.6996,-127.4199,51.98,82,100,6.91,CA,2022-06-13 18:52:58
162,Lohr,49.9936,9.5783,64.67,60,100,5.01,DE,2022-06-13 18:52:58
163,Ouallam,14.3188,2.0866,100.8,24,6,7.92,NE,2022-06-13 18:52:59
164,Temir,49.1414,57.13,56.26,74,0,9.98,KZ,2022-06-13 18:52:59
165,Pleasanton,37.6624,-121.8747,78.33,44,0,6.91,US,2022-06-13 18:49:37
166,Misratah,32.3754,15.0925,73.09,76,0,11.34,LY,2022-06-13 18:52:59
167,Verkhnyaya Toyma,62.2349,44.9985,56.16,88,100,2.28,RU,2022-06-13 18:53:00
168,Inuvik,68.3499,-133.7218,42.01,81,75,6.91,CA,2022-06-13 18:53:00
169,Sinnamary,5.3833,-52.95,81.9,76,96,6.71,GF,2022-06-13 18:53:00
170,Sitka,57.0531,-135.33,51.69,82,75,4.61,US,2022-06-13 18:49:00
171,Cherskiy,68.75,161.3,59.36,35,17,2.95,RU,2022-06-13 18:53:01
172,Fortuna,40.5982,-124.1573,61.09,59,20,16.11,US,2022-06-13 18:51:35
173,Alice Springs,-23.7,133.8833,38.75,87,0,0.0,AU,2022-06-13 18:53:01
174,Tuatapere,-46.1333,167.6833,43.57,81,100,20.71,NZ,2022-06-13 18:50:09
175,Buarcos,40.166,-8.8768,75.54,82,4,3.09,PT,2022-06-13 18:53:01
176,Chuy,-33.6971,-53.4616,60.03,71,64,4.94,UY,2022-06-13 18:53:02
177,Axim,4.8699,-2.2405,78.46,78,5,7.07,GH,2022-06-13 18:53:02
178,Portales,34.1862,-103.3344,96.1,15,11,8.03,US,2022-06-13 18:52:53
179,Qaanaaq,77.484,-69.3632,31.14,61,12,2.19,GL,2022-06-13 18:53:02
180,Telimele,10.9167,-13.3333,76.71,83,100,2.33,GN,2022-06-13 18:53:03
181,Bethel,41.3712,-73.414,84.02,63,34,1.99,US,2022-06-13 18:53:03
182,Carnarvon,-24.8667,113.6333,65.17,55,0,11.68,AU,2022-06-13 18:53:03
183,Zhezkazgan,47.8043,67.7144,65.26,64,75,8.59,KZ,2022-06-13 18:53:03
184,Jerome,42.7241,-114.5186,52.68,56,6,21.3,US,2022-06-13 18:53:04
185,Gold Coast,-28.0,153.4333,60.01,92,63,5.75,AU,2022-06-13 18:53:04
186,Bani,18.2833,-70.3333,94.44,51,99,15.99,DO,2022-06-13 18:53:04
187,Cabo San Lucas,22.8909,-109.9124,91.62,60,2,12.08,MX,2022-06-13 18:53:05
188,Vardo,70.3705,31.1107,46.38,81,75,11.5,NO,2022-06-13 18:53:05
189,Rocha,-34.4833,-54.3333,60.87,64,9,6.87,UY,2022-06-13 18:53:05
190,Pecos,31.4229,-103.4932,104.09,13,0,9.22,US,2022-06-13 18:50:46
191,Kodiak,57.79,-152.4072,49.19,78,99,10.33,US,2022-06-13 18:53:06
